Uid,Hashed Id,Total Hours,Total Price,Unit Price,Package,Installments,Crm Deal Id,Discount,Stripe Url,Stripe Customer Id,Extra Student,Active,Created At,Last Updated,Booking Date,Upsell
230,420aec25e23368056e3af06d3fa26f92dac34280e5e0e60980a5bddf,48,13872.0,289.0,6-months-289,6,378710000016522616,,toptutors.dk/order/420aec25e23368056e3af06d3fa26f92dac34280e5e0e60980a5bddf,cus_NlBMdZW23Rnu67,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
243,748bcd2e6ab5f18c430fe670e7206acfa084749013cbc243c3f6c7ff,24,7416.0,309.0,3-months-309,3,378710000017213875,,toptutors.dk/order/748bcd2e6ab5f18c430fe670e7206acfa084749013cbc243c3f6c7ff,cus_NpJ09Tp3DGHtTw,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
237,f82325fdad779791247001bbd4920aa06a1ef535b02f0776dcc8c5ca,144,32976.0,229.0,18-months-229,18,378710000016755964,,toptutors.dk/order/f82325fdad779791247001bbd4920aa06a1ef535b02f0776dcc8c5ca,cus_Nn3YDrlbuSjrTV,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
240,544713b69eff42da8172fec4ffa8769fcc21002bc8650edb8a59cd71,24,7416.0,309.0,3-months-309,3,378710000016358045,,toptutors.dk/order/544713b69eff42da8172fec4ffa8769fcc21002bc8650edb8a59cd71,cus_NoB5ghFgJv4O4P,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
231,0d3451aa67fc04946ed57b7bb7ce6d652aa621c5820da12a8357a285,12,4788.0,399.0,single-399,1,378710000016758099,,toptutors.dk/order/0d3451aa67fc04946ed57b7bb7ce6d652aa621c5820da12a8357a285,cus_JrBINXeAayjGhV,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
233,af20fa573d5db40894853a5869e94d43392f34fb7d04bb320eaad801,144,32976.0,229.0,18-months-229,18,378710000015232472,,toptutors.dk/order/af20fa573d5db40894853a5869e94d43392f34fb7d04bb320eaad801,cus_NmGSfKgoi9dbXp,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
234,6b053e8858342a743a11f9faf2efa73ebbc169e0dc5dfe841679210a,24,7416.0,309.0,3-months-309,3,378710000016524346,,toptutors.dk/order/6b053e8858342a743a11f9faf2efa73ebbc169e0dc5dfe841679210a,cus_NmGZPD8l2nr3az,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
241,288c1489c83f5212e690ab5dc21cc5d4505fb1877d95166d389fe81a,4,1596.0,399.0,single-399,1,378710000009785559,,toptutors.dk/order/288c1489c83f5212e690ab5dc21cc5d4505fb1877d95166d389fe81a,cus_Mi1PT56agabeqv,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
232,968c13a343cf01141d3943e2f240e9678f54d48fd7f6ac9be278230e,144,32976.0,229.0,18-months-229,18,378710000007654439,,toptutors.dk/order/968c13a343cf01141d3943e2f240e9678f54d48fd7f6ac9be278230e,cus_MZ4mTFA2iO7Pxs,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
239,58b4f0cedb2b4ff0714d98b0d3956598723c111a76681fdd186d73f3,10,3990.0,399.0,single-399,1,378710000017060622,,toptutors.dk/order/58b4f0cedb2b4ff0714d98b0d3956598723c111a76681fdd186d73f3,cus_NnOuadFP2QtGVy,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
235,897bd3fa5e2270a484a805bf9a6e439795ddcad481f7fc6e5c67f772,144,32976.0,229.0,18-months-229,18,378710000015268717,,toptutors.dk/order/897bd3fa5e2270a484a805bf9a6e439795ddcad481f7fc6e5c67f772,cus_NmglUfpoNAfjyv,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
242,a5c099b8b4ef264e573223a1fcde6e12e5424145ba6635255f98f19f,144,32976.0,229.0,18-months-229,18,378710000017191612,,toptutors.dk/order/a5c099b8b4ef264e573223a1fcde6e12e5424145ba6635255f98f19f,cus_Np13EXbKDgDFhU,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
